Standard Bike	-0.25	-0.25	0	+0.25	+0.25	-0.25	+0.25	+0.25	0	+0.25	+0.5	+0.25
Comet+[28]	-0.25	-0.25	+0.25	0	+0.25	0	+0.25	0	+0.25	0	0	+0.25
Sport Bike+	+0.25	0	0	0	-0.5	-0.25	0	+0.25	0	-0.25	-0.25	-0.25
The Duke	0	0	0	0	0	0	0	0	0	0	0	0
Flame Rider	-0.25	-0.25	0	+0.25	+0.25	-0.25	+0.25	+0.25	0	+0.25	+0.5	+0.25
Varmint	-0.5	0	-0.5	-0.5	+0.5	-0.25	+0.5	+0.5	-0.25	+0.25	+0.25	+0.5
Mr. Scooty	-0.75	-0.5	-0.5	-0.25	+0.75	-0.5	+0.5	+0.5	+0.25	+0.5	+0.25	+0.75
Jet Bike+	+0.25	0	0	0	-0.5	-0.25	0	+0.25	0	-0.25	-0.25	-0.25
Yoshi Bike+	-0.25	-0.25	+0.25	0	+0.25	0	+0.25	0	+0.25	0	0	+0.25
Master Cycle+	+0.25	-0.25	0	0	-0.5	0	0	0	-0.25	0	-0.75	-0.25
City Tripper	-0.5	0	-0.5	-0.5	+0.5	-0.25	+0.5	+0.5	-0.25	+0.25	+0.25	+0.5
