Baby Peach / Baby Daisy	2.25	2.5	2.75	2	4	2	5	4.5	5	5	4.25	4
Baby Rosalina / Lemmy Koopa	2.25	2.5	2.75	2	4.25	2	4.75	4.25	4.75	4.75	3.75	4
Baby Mario / Baby Luigi / Try Bones / Mii (Light)	2.5	2.75	3	2.25	4.25	2.25	4.5	4	4.5	4.5	4	3.75
Koopa Troopa / Lakitu / Bowser Jr	2.75	3	3.25	2.5	4	2.5	4.5	4	4.5	4.5	4.25	3.75
Toadette /Wendy Isabelle	2.75	3	3.25	2.5	4.25	2.5	4.25	3.75	4.25	4.25	3.5	3.75
Toad / Shy Guy /Larry	3	3.25	3.5	2.75	4	2.75	4.25	3.75	4.25	4.25	4	3.5
Cat PeachInkling Girl Villager (female)	3.25	3.5	3.75	3	4	2.75	4	3.5	4	4	3.75	3.5
PeachDaisy Yoshi /	3.5	3.75	4	3.25	3.75	3	3.75	3.25	3.75	3.75	3.75	3.5
Tanooki Mario /Inkling Boy Villager (male)	3.5	3.75	4	3.25	3.75	3.25	3.75	3.25	3.75	3.75	3.25	3.5
Luigi /Iggy	3.75	4	4.25	3.5	3.5	3.5	3.75	3.25	3.75	3.75	3.25	3.25
Mario /LudwigMii (medium)	3.75	4	4.25	3.5	3.5	3.5	3.5	3	3.5	3.5	3.5	3.25
Rosalina / King Boo / Link	4	4.25	4.5	3.75	3.25	3.75	3.25	2.75	3.25	3.25	3.75	3.25
Waluigi / DK /Roy	4.5	4.75	5	4.25	3.25	4	3	2.5	3	3	3	3
Wario / Dry Bowser	4.75	5	5.25	4.5	3	4.25	2.75	2.25	2.75	2.75	3.25	2.75
Metal Mario* Pink Gold Peach	4.25	4.5	4.75	4	3.25	4.5	3.25	2.75	3.25	3.25	3.25	3
Bowser /MortonMii (heavy)	4.75	5	5.25	4.5	3	4.5	2.5	2	2.5	2.5	3	2.75
